action;tote_batch_id;timestamp;location
tote-finished;636;2022-11-08 06:34:48.795000;consolidation
tote-finished;454;2022-11-08 06:34:54.084000;consolidation
tote-finished;424;2022-11-08 06:34:59.928000;consolidation
tote-finished;897;2022-11-08 06:35:05.867000;consolidation
batch-consolidate-end;batch-3;2022-11-08 06:35:10.938000;consolidation
tote-finished;381;2022-11-08 06:35:10.938000;consolidation
add-to-batch_6;266;2022-11-08 06:35:19.077000;buffer
add-to-batch_6;483;2022-11-08 06:35:25.805000;buffer
add-to-batch_6;165;2022-11-08 06:35:43.791000;buffer
add-to-batch_6;88;2022-11-08 06:35:58.358000;buffer
add-to-batch_6;485;2022-11-08 06:36:26.511000;buffer
batch-full;batch-6;2022-11-08 06:36:26.511000;buffer
batch-release;batch-6;2022-11-08 06:36:26.511000;buffer
batch-pick-start;batch-6;2022-11-08 06:36:26.511000;buffer
new-batch;batch-7;2022-11-08 06:36:32.048000;buffer
add-to-batch_7;734;2022-11-08 06:36:32.048000;buffer
add-to-batch_7;662;2022-11-08 06:36:33.987000;buffer
add-to-batch_7;638;2022-11-08 06:36:36.165000;buffer
add-to-batch_7;689;2022-11-08 06:36:54.076000;buffer
add-to-batch_7;666;2022-11-08 06:38:42.586000;buffer
add-to-batch_7;833;2022-11-08 06:39:09.517000;buffer
add-to-batch_7;659;2022-11-08 06:39:44.477000;buffer
add-to-batch_7;916;2022-11-08 06:40:05.201000;buffer
add-to-batch_7;824;2022-11-08 06:40:16.678000;buffer
batch-pick-end;batch-4;2022-11-08 06:40:17.457000;buffer
batch-consolidate-start;batch-4;2022-11-08 06:40:17.457000;consolidation
tote-finished;64;2022-11-08 06:40:25.824000;consolidation
tote-finished;52;2022-11-08 06:40:32.750000;consolidation
add-to-batch_7;837;2022-11-08 06:40:34.578000;buffer
tote-finished;223;2022-11-08 06:40:38.885000;consolidation
tote-finished;293;2022-11-08 06:40:44.641000;consolidation
tote-finished;327;2022-11-08 06:40:49.955000;consolidation
tote-finished;211;2022-11-08 06:40:55.595000;consolidation
tote-finished;487;2022-11-08 06:41:01.019000;consolidation
tote-finished;159;2022-11-08 06:41:06.802000;consolidation
add-to-batch_7;570;2022-11-08 06:41:07.528000;buffer
tote-finished;30;2022-11-08 06:41:11.636000;consolidation
tote-finished;629;2022-11-08 06:41:17.452000;consolidation
tote-finished;131;2022-11-08 06:41:25.570000;consolidation
add-to-batch_7;593;2022-11-08 06:41:27.985000;buffer
batch-full;batch-7;2022-11-08 06:41:27.985000;buffer
batch-release;batch-7;2022-11-08 06:41:27.985000;buffer
batch-pick-start;batch-7;2022-11-08 06:41:27.985000;buffer
batch-consolidate-end;batch-4;2022-11-08 06:41:31.839000;consolidation
tote-finished;335;2022-11-08 06:41:31.839000;consolidation
new-batch;batch-8;2022-11-08 06:41:53.687000;buffer
add-to-batch_8;619;2022-11-08 06:41:53.687000;buffer
add-to-batch_8;42;2022-11-08 06:42:22.948000;buffer
add-to-batch_8;977;2022-11-08 06:42:32.072000;buffer
add-to-batch_8;466;2022-11-08 06:42:54.518000;buffer
add-to-batch_8;136;2022-11-08 06:44:30.543000;buffer
add-to-batch_8;12;2022-11-08 06:45:25.183000;buffer
batch-pick-end;batch-5;2022-11-08 06:45:35.177000;buffer
batch-consolidate-start;batch-5;2022-11-08 06:45:35.177000;consolidation
tote-finished;713;2022-11-08 06:45:41.131000;consolidation
tote-finished;503;2022-11-08 06:45:48.201000;consolidation
tote-finished;735;2022-11-08 06:45:55.519000;consolidation
tote-finished;192;2022-11-08 06:46:01.256000;consolidation
add-to-batch_8;225;2022-11-08 06:46:06.488000;buffer
tote-finished;360;2022-11-08 06:46:07.553000;consolidation
batch-pick-end;batch-6;2022-11-08 06:46:14.333000;buffer
batch-consolidate-start;batch-6;2022-11-08 06:46:14.333000;consolidation
tote-finished;601;2022-11-08 06:46:14.531000;consolidation
tote-finished;808;2022-11-08 06:46:19.813000;consolidation
tote-finished;987;2022-11-08 06:46:20.927000;consolidation
tote-finished;374;2022-11-08 06:46:24.770000;consolidation
add-to-batch_8;965;2022-11-08 06:46:26.409000;buffer
tote-finished;925;2022-11-08 06:46:27.732000;consolidation
tote-finished;998;2022-11-08 06:46:29.857000;consolidation
tote-finished;520;2022-11-08 06:46:32.378000;consolidation
tote-finished;486;2022-11-08 06:46:37.313000;consolidation
tote-finished;836;2022-11-08 06:46:38.459000;consolidation
tote-finished;474;2022-11-08 06:46:41.706000;consolidation
tote-finished;94;2022-11-08 06:46:44.810000;consolidation
